Product Category,Payment Method,Device Type,Subscription Status,Location,Return Customer
Beauty,Bank Transfer,Desktop,Free,Barisal,0.75
Beauty,Bank Transfer,Desktop,Free,Chittagong,0.5
Beauty,Bank Transfer,Desktop,Free,Dhaka,0.75
Beauty,Bank Transfer,Desktop,Free,Khulna,0.5
Beauty,Bank Transfer,Desktop,Free,Mymensingh,0.8
Beauty,Bank Transfer,Desktop,Free,Rajshahi,0.5
Beauty,Bank Transfer,Desktop,Free,Rangpur,0.3333333333333333
Beauty,Bank Transfer,Desktop,Free,Sylhet,0.3333333333333333
Beauty,Bank Transfer,Desktop,Premium,Barisal,0.25
Beauty,Bank Transfer,Desktop,Premium,Chittagong,0.0
Beauty,Bank Transfer,Desktop,Premium,Dhaka,0.42857142857142855
Beauty,Bank Transfer,Desktop,Premium,Khulna,0.3333333333333333
Beauty,Bank Transfer,Desktop,Premium,Rajshahi,0.5
Beauty,Bank Transfer,Desktop,Premium,Rangpur,0.3333333333333333
Beauty,Bank Transfer,Desktop,Trial,Barisal,1.0
Beauty,Bank Transfer,Desktop,Trial,Chittagong,1.0
Beauty,Bank Transfer,Desktop,Trial,Dhaka,0.2
Beauty,Bank Transfer,Desktop,Trial,Khulna,0.5
Beauty,Bank Transfer,Desktop,Trial,Mymensingh,0.8
Beauty,Bank Transfer,Desktop,Trial,Rajshahi,0.5
Beauty,Bank Transfer,Desktop,Trial,Rangpur,0.25
Beauty,Bank Transfer,Desktop,Trial,Sylhet,0.5
Beauty,Bank Transfer,Mobile,Free,Barisal,0.0
Beauty,Bank Transfer,Mobile,Free,Chittagong,0.6
Beauty,Bank Transfer,Mobile,Free,Dhaka,0.3333333333333333
Beauty,Bank Transfer,Mobile,Free,Khulna,0.5
Beauty,Bank Transfer,Mobile,Free,Mymensingh,0.75
Beauty,Bank Transfer,Mobile,Free,Rajshahi,0.6666666666666666
Beauty,Bank Transfer,Mobile,Free,Rangpur,1.0
Beauty,Bank Transfer,Mobile,Free,Sylhet,0.25
Beauty,Bank Transfer,Mobile,Premium,Barisal,0.75
Beauty,Bank Transfer,Mobile,Premium,Chittagong,0.6666666666666666
Beauty,Bank Transfer,Mobile,Premium,Dhaka,1.0
Beauty,Bank Transfer,Mobile,Premium,Mymensingh,0.6666666666666666
Beauty,Bank Transfer,Mobile,Premium,Rajshahi,0.6666666666666666
Beauty,Bank Transfer,Mobile,Premium,Rangpur,0.3333333333333333
Beauty,Bank Transfer,Mobile,Premium,Sylhet,0.3333333333333333
Beauty,Bank Transfer,Mobile,Trial,Barisal,0.5
Beauty,Bank Transfer,Mobile,Trial,Chittagong,0.5
Beauty,Bank Transfer,Mobile,Trial,Dhaka,0.5714285714285714
Beauty,Bank Transfer,Mobile,Trial,Khulna,0.625
Beauty,Bank Transfer,Mobile,Trial,Mymensingh,0.3333333333333333
Beauty,Bank Transfer,Mobile,Trial,Rajshahi,0.75
Beauty,Bank Transfer,Mobile,Trial,Rangpur,0.0
Beauty,Bank Transfer,Mobile,Trial,Sylhet,0.5
Beauty,Bank Transfer,Tablet,Free,Barisal,1.0
Beauty,Bank Transfer,Tablet,Free,Chittagong,0.3333333333333333
Beauty,Bank Transfer,Tablet,Free,Dhaka,0.25
Beauty,Bank Transfer,Tablet,Free,Khulna,0.5
Beauty,Bank Transfer,Tablet,Free,Mymensingh,0.5
Beauty,Bank Transfer,Tablet,Free,Rajshahi,0.5
Beauty,Bank Transfer,Tablet,Free,Rangpur,0.6666666666666666
Beauty,Bank Transfer,Tablet,Premium,Barisal,0.0
Beauty,Bank Transfer,Tablet,Premium,Chittagong,0.4
Beauty,Bank Transfer,Tablet,Premium,Dhaka,0.6666666666666666
Beauty,Bank Transfer,Tablet,Premium,Khulna,0.6666666666666666
Beauty,Bank Transfer,Tablet,Premium,Mymensingh,0.4
Beauty,Bank Transfer,Tablet,Premium,Rajshahi,0.8571428571428571
Beauty,Bank Transfer,Tablet,Premium,Rangpur,0.5
Beauty,Bank Transfer,Tablet,Premium,Sylhet,0.3333333333333333
Beauty,Bank Transfer,Tablet,Trial,Barisal,0.0
Beauty,Bank Transfer,Tablet,Trial,Chittagong,0.6
Beauty,Bank Transfer,Tablet,Trial,Dhaka,0.6666666666666666
Beauty,Bank Transfer,Tablet,Trial,Khulna,0.3333333333333333
Beauty,Bank Transfer,Tablet,Trial,Mymensingh,0.5714285714285714
Beauty,Bank Transfer,Tablet,Trial,Rajshahi,0.75
Beauty,Bank Transfer,Tablet,Trial,Sylhet,0.0
Beauty,Cash on Delivery,Desktop,Free,Barisal,1.0
Beauty,Cash on Delivery,Desktop,Free,Chittagong,0.16666666666666666
Beauty,Cash on Delivery,Desktop,Free,Dhaka,1.0
Beauty,Cash on Delivery,Desktop,Free,Khulna,0.0
Beauty,Cash on Delivery,Desktop,Free,Mymensingh,0.4
Beauty,Cash on Delivery,Desktop,Free,Rajshahi,0.6666666666666666
Beauty,Cash on Delivery,Desktop,Free,Rangpur,0.6666666666666666
Beauty,Cash on Delivery,Desktop,Free,Sylhet,0.5
Beauty,Cash on Delivery,Desktop,Premium,Barisal,0.4
Beauty,Cash on Delivery,Desktop,Premium,Chittagong,0.0
Beauty,Cash on Delivery,Desktop,Premium,Dhaka,0.6666666666666666
Beauty,Cash on Delivery,Desktop,Premium,Khulna,0.2
Beauty,Cash on Delivery,Desktop,Premium,Mymensingh,0.5714285714285714
Beauty,Cash on Delivery,Desktop,Premium,Rajshahi,0.25
Beauty,Cash on Delivery,Desktop,Premium,Rangpur,1.0
Beauty,Cash on Delivery,Desktop,Premium,Sylhet,0.6666666666666666
Beauty,Cash on Delivery,Desktop,Trial,Barisal,0.25
Beauty,Cash on Delivery,Desktop,Trial,Chittagong,0.5
Beauty,Cash on Delivery,Desktop,Trial,Dhaka,0.8
Beauty,Cash on Delivery,Desktop,Trial,Khulna,0.3333333333333333
Beauty,Cash on Delivery,Desktop,Trial,Mymensingh,0.8333333333333334
Beauty,Cash on Delivery,Desktop,Trial,Rajshahi,0.0
Beauty,Cash on Delivery,Desktop,Trial,Rangpur,1.0
Beauty,Cash on Delivery,Desktop,Trial,Sylhet,0.0
Beauty,Cash on Delivery,Mobile,Free,Barisal,0.8
Beauty,Cash on Delivery,Mobile,Free,Chittagong,0.6666666666666666
Beauty,Cash on Delivery,Mobile,Free,Dhaka,0.3333333333333333
Beauty,Cash on Delivery,Mobile,Free,Khulna,0.5
Beauty,Cash on Delivery,Mobile,Free,Mymensingh,0.0
Beauty,Cash on Delivery,Mobile,Free,Rajshahi,0.5
Beauty,Cash on Delivery,Mobile,Free,Rangpur,0.6666666666666666
Beauty,Cash on Delivery,Mobile,Free,Sylhet,0.0
Beauty,Cash on Delivery,Mobile,Premium,Barisal,0.25
Beauty,Cash on Delivery,Mobile,Premium,Chittagong,1.0
Beauty,Cash on Delivery,Mobile,Premium,Dhaka,0.5
Beauty,Cash on Delivery,Mobile,Premium,Khulna,0.3333333333333333
Beauty,Cash on Delivery,Mobile,Premium,Mymensingh,0.6666666666666666
Beauty,Cash on Delivery,Mobile,Premium,Rajshahi,0.25
Beauty,Cash on Delivery,Mobile,Premium,Rangpur,0.6666666666666666
Beauty,Cash on Delivery,Mobile,Premium,Sylhet,0.4
Beauty,Cash on Delivery,Mobile,Trial,Barisal,0.6
Beauty,Cash on Delivery,Mobile,Trial,Chittagong,0.42857142857142855
Beauty,Cash on Delivery,Mobile,Trial,Dhaka,0.5555555555555556
Beauty,Cash on Delivery,Mobile,Trial,Khulna,0.25
Beauty,Cash on Delivery,Mobile,Trial,Mymensingh,0.5
Beauty,Cash on Delivery,Mobile,Trial,Rajshahi,0.0
Beauty,Cash on Delivery,Mobile,Trial,Rangpur,0.0
Beauty,Cash on Delivery,Mobile,Trial,Sylhet,0.4
Beauty,Cash on Delivery,Tablet,Free,Barisal,0.3333333333333333
Beauty,Cash on Delivery,Tablet,Free,Chittagong,0.5
Beauty,Cash on Delivery,Tablet,Free,Dhaka,0.5
Beauty,Cash on Delivery,Tablet,Free,Khulna,0.6
Beauty,Cash on Delivery,Tablet,Free,Mymensingh,0.0
Beauty,Cash on Delivery,Tablet,Free,Rajshahi,0.6666666666666666
Beauty,Cash on Delivery,Tablet,Free,Rangpur,0.6666666666666666
Beauty,Cash on Delivery,Tablet,Free,Sylhet,0.3333333333333333
