car_id,mileage,selling_price
A001,126958,9734
A002,151867,8775
A003,136932,3928
A004,108694,12454
A005,124879,6634
A006,115268,7285
A007,59886,10724
A008,142337,5620
A009,173266,5294
A010,92498,11129
A011,117727,8318
A012,131324,5843
A013,180203,6683
A014,196335,6128
A015,21023,25148
A016,46090,15148
A017,72221,19117
A018,69820,15218
A019,5769,29397
A020,64735,12706
A021,199027,4076
A022,69925,15735
A023,10311,26779
A024,108355,11896
A025,189779,7097
A026,90305,9472
A027,164765,7475
A028,135608,8518
A029,161730,5943
A030,89478,9119
A031,127537,11339
A032,154503,7192
A033,135523,4170
A034,7747,27277
A035,128855,8924
A036,195222,5271
A037,70725,14534
A038,134981,8461
A039,89654,16477
A040,171845,8473
A041,124346,6752
A042,72435,13345
A043,61886,15934
A044,71803,11133
A045,36551,18132
A046,121216,5683
A047,16394,23168
A048,74092,17079
A049,8890,25737
A050,46606,16769
A051,92313,13683
A052,146699,6019
A053,13792,26972
A054,179073,3548
A055,159969,2454
A056,73148,15371
A057,129243,5135
A058,125174,7559
A059,159555,4618
A060,129358,8619
A061,53555,16448
A062,22159,23781
A063,115510,6329
A064,111530,13835
A065,85077,10412
A066,40920,22328
A067,24457,23790
A068,83953,13239
A069,57995,17506
A070,176829,1358
A071,14692,27833
A072,181830,3847
A073,42065,22119
A074,104299,10269
A075,168678,4804
A076,16534,22845
A077,45397,17522
A078,96387,12287
A079,6016,25632
A080,60591,12386
A081,28247,20902
A082,29300,24060
A083,87798,16031
A084,14268,24656
A085,91807,8881
A086,17185,24576
A087,199776,4436
A088,175171,6360
A089,144643,11331
A090,43044,19960
A091,56214,20410
A092,197300,3245
A093,119752,9231
A094,53984,16299
A095,45774,17621
A096,7568,27286
A097,125151,8020
A098,198664,2906
A099,138767,6391
A100,129375,10420
A101,184262,8978
A102,141330,6303
A103,44504,18575
A104,169231,6572
A105,18986,31186
A106,66858,15541
A107,134312,9776
A108,17666,28230
A109,43660,20075
A110,139633,9277
A111,31854,23031
A112,69505,17036
A113,109488,7968
A114,188323,4971
A115,27662,23712
A116,13392,27173
A117,35535,23301
A118,118569,10059
A119,57256,14632
A120,94135,12885
A121,132478,6209
A122,40222,18666
A123,82373,12326
A124,128684,8061
A125,199407,996
A126,15965,27807
A127,29538,20016
A128,113066,12824
A129,118252,6945
A130,144182,9658
A131,163338,5801
A132,189064,1096
A133,103806,8538
A134,142982,9833
A135,115989,10302
A136,95982,11331
A137,126626,4022
A138,124176,11445
A139,136278,11419
A140,127409,11766
A141,28419,21348
A142,186708,5402
A143,55015,18290
A144,127096,5361
A145,112059,10143
A146,190340,6613
A147,115687,10963
A148,92939,9621
A149,154213,4692
A150,110878,11480
A151,192116,5658
A152,169899,977
A153,191892,-511
A154,67623,15102
A155,80450,12240
A156,98426,10614
A157,122845,7959
A158,158371,8124
A159,48585,18662
A160,114225,10108
A161,69044,12356
A162,178629,-1701
A163,185152,6957
A164,114556,13827
A165,7693,27093
A166,100259,11506
A167,30939,22665
A168,184997,8067
A169,179013,6786
A170,157906,7177
A171,23047,23935
A172,31105,22100
A173,80766,10498
A174,151779,5808
A175,158048,7948
A176,49262,17863
A177,130117,8255
A178,28776,20145
A179,166152,6586
A180,133376,4981
A181,197445,4744
A182,142848,6815
A183,97787,7796
A184,132948,10077
A185,60016,16133
A186,145546,10720
A187,194125,7262
A188,26959,21151
A189,141602,5696
A190,124101,6328
A191,8748,24314
A192,18545,24077
A193,132659,10848
A194,170838,1604
A195,78530,15383
A196,98557,12733
A197,66087,16601
A198,73840,15802
A199,123451,6520
A200,190456,5989
A201,56005,16036
A202,182648,-90
A203,44353,19367
A204,198075,2450
A205,57733,19559
A206,70318,14277
A207,159736,6164
A208,72172,15355
A209,98264,10694
A210,31736,21634
A211,117859,10918
A212,117181,7161
A213,136926,6225
A214,95084,9658
A215,174695,8102
A216,12392,25100
A217,60680,16066
A218,182789,3621
A219,55859,16544
A220,130657,6647
A221,162381,6839
A222,199806,1986
A223,75467,11400
A224,188734,3427
A225,103506,9059
A226,114751,6847
A227,123906,8042
A228,148760,3457
A229,30342,25604
A230,173229,2321
A231,111308,8563
A232,188155,3763
A233,111081,13248
A234,94045,8252
A235,39698,20454
A236,115078,11566
A237,85623,12123
A238,27671,20408
A239,161256,5765
A240,98384,14270
A241,178179,3818
A242,91202,14923
A243,56663,17540
A244,20708,26853
A245,96906,11820
A246,54811,16372
A247,138883,10758
A248,61250,16710
A249,117547,9593
A250,129249,9852
A251,39754,22007
A252,147483,8490
A253,138983,4772
A254,144752,5780
A255,89896,10896
A256,76295,12430
A257,105689,8681
A258,16111,24193
A259,42504,20284
A260,137874,8545
A261,13155,26298
A262,44384,18394
A263,117561,11809
A264,52254,17607
A265,26918,24794
A266,90981,10939
A267,196785,5020
A268,35306,23760
A269,152718,1296
A270,51843,16553
A271,125975,9699
A272,101601,13286
A273,112512,10144
A274,152443,6631
A275,116472,12581
A276,138121,10086
A277,167688,3871
A278,108727,10346
A279,117893,9948
A280,25932,26584
A281,122796,10518
A282,34855,20964
A283,197506,4602
A284,179088,1236
A285,12400,28438
A286,122858,10072
A287,178714,7447
A288,20151,24236
A289,187479,4857
A290,71690,13685
A291,9499,24985
A292,11295,25591
A293,125885,4880
A294,131071,9918
A295,64040,11462
A296,17183,29327
A297,165371,2211
A298,148946,9764
A299,121336,7099
A300,37711,21697
