,Year,Month,variable,value
0,1981,1,1,20.2
1,1981,2,1,21.2
2,1981,3,1,33.9
3,1981,4,1,28.7
4,1981,5,1,36.2
5,1981,6,1,31.1
6,1981,7,1,31
7,1981,8,1,32.7
8,1981,9,1,****
9,1981,10,1,****
10,1981,11,1,****
11,1981,12,1,****
12,1982,1,1,****
13,1982,2,1,****
14,1982,3,1,****
15,1982,4,1,****
16,1982,5,1,****
17,1982,6,1,37.5
18,1982,7,1,33.4
19,1982,8,1,32.7
20,1982,9,1,32.5
21,1982,10,1,34.2
22,1982,11,1,30.2
23,1982,12,1,25.5
24,1983,1,1,22.8
25,1983,2,1,21.6
26,1983,3,1,30.4
27,1983,4,1,36.9
28,1983,5,1,29.3
29,1983,6,1,36.5
30,1983,7,1,33.3
31,1983,8,1,33
32,1983,9,1,32.7
33,1983,10,1,33.1
34,1983,11,1,31.4
35,1983,12,1,27.6
36,1984,1,1,23.2
37,1984,2,1,24.9
38,1984,3,1,28.8
39,1984,4,1,39.6
40,1984,5,1,35
41,1984,6,1,38.1
42,1984,7,1,31
43,1984,8,1,30.1
44,1984,9,1,33
45,1984,10,1,33.2
46,1984,11,1,30.3
47,1984,12,1,28
48,1985,1,1,24.2
49,1985,2,1,24.3
50,1985,3,1,31.8
51,1985,4,1,****
52,1985,5,1,33
53,1985,6,1,35.5
54,1985,7,1,29.2
55,1985,8,1,32
56,1985,9,1,32
57,1985,10,1,32
58,1985,11,1,30.4
59,1985,12,1,27.7
60,1986,1,1,22.6
61,1986,2,1,26.5
62,1986,3,1,28.2
63,1986,4,1,37.5
64,1986,5,1,33
65,1986,6,1,38
66,1986,7,1,31.5
67,1986,8,1,31
68,1986,9,1,34.8
69,1986,10,1,30.5
70,1986,11,1,31.5
71,1986,12,1,27.5
72,1987,1,1,22.9
73,1987,2,1,28.5
74,1987,3,1,28.2
75,1987,4,1,37.7
76,1987,5,1,29.5
77,1987,6,1,36
78,1987,7,1,34.2
79,1987,8,1,28.2
80,1987,9,1,31.8
81,1987,10,1,33.6
82,1987,11,1,32.3
83,1987,12,1,28.5
84,1988,1,1,25.6
85,1988,2,1,27.2
86,1988,3,1,29.5
87,1988,4,1,37.6
88,1988,5,1,34.3
89,1988,6,1,33.6
90,1988,7,1,30.1
91,1988,8,1,33.8
92,1988,9,1,33.6
93,1988,10,1,33.5
94,1988,11,1,33.8
95,1988,12,1,26
96,1989,1,1,26
97,1989,2,1,26.4
98,1989,3,1,34.1
99,1989,4,1,35.2
100,1989,5,1,37
101,1989,6,1,34.4
102,1989,7,1,31.6
103,1989,8,1,27.7
104,1989,9,1,32.2
105,1989,10,1,33.9
106,1989,11,1,29.4
107,1989,12,1,27.6
108,1990,1,1,21.4
109,1990,2,1,28.8
110,1990,3,1,26.3
111,1990,4,1,31.5
112,1990,5,1,32.2
113,1990,6,1,29.9
114,1990,7,1,33.5
115,1990,8,1,32
116,1990,9,1,35.9
117,1990,10,1,31.8
118,1990,11,1,30.4
119,1990,12,1,27.5
120,1991,1,1,25.4
121,1991,2,1,28.2
122,1991,3,1,27.8
123,1991,4,1,36.8
124,1991,5,1,39.6
125,1991,6,1,34.2
126,1991,7,1,33
127,1991,8,1,33.2
128,1991,9,1,32.4
129,1991,10,1,34.6
130,1991,11,1,31.2
131,1991,12,1,28
132,1992,1,1,20
133,1992,2,1,25
134,1992,3,1,30.6
135,1992,4,1,36.7
136,1992,5,1,35
137,1992,6,1,39.6
138,1992,7,1,35.4
139,1992,8,1,32.6
140,1992,9,1,33.4
141,1992,10,1,33
142,1992,11,1,32.8
143,1992,12,1,26.6
144,1993,1,1,22.4
145,1993,2,1,29.2
146,1993,3,1,27
147,1993,4,1,36.8
148,1993,5,1,32.1
149,1993,6,1,31.2
150,1993,7,1,34.2
151,1993,8,1,33.3
152,1993,9,1,30
153,1993,10,1,32.9
154,1993,11,1,30.5
155,1993,12,1,28.5
156,1994,1,1,25.8
157,1994,2,1,22.1
158,1994,3,1,29.2
159,1994,4,1,36.5
160,1994,5,1,35.5
161,1994,6,1,38
162,1994,7,1,31.5
163,1994,8,1,34.4
164,1994,9,1,33
165,1994,10,1,34.4
166,1994,11,1,30
167,1994,12,1,26.2
168,1995,1,1,21
169,1995,2,1,26.4
170,1995,3,1,31
171,1995,4,1,35.4
172,1995,5,1,43.3
173,1995,6,1,37
174,1995,7,1,33.9
175,1995,8,1,31.8
176,1995,9,1,32.8
177,1995,10,1,32
178,1995,11,1,28.5
179,1995,12,1,28.4
180,1996,1,1,26.4
181,1996,2,1,25.5
182,1996,3,1,29.4
183,1996,4,1,35.5
184,1996,5,1,35.6
185,1996,6,1,36
186,1996,7,1,32
187,1996,8,1,34.2
188,1996,9,1,29
189,1996,10,1,34.7
190,1996,11,1,29.7
191,1996,12,1,27.7
192,1997,1,1,25
193,1997,2,1,25.6
194,1997,3,1,30.5
195,1997,4,1,31.5
196,1997,5,1,35
197,1997,6,1,****
198,1997,7,1,31.6
199,1997,8,1,33.2
200,1997,9,1,33
201,1997,10,1,32.4
202,1997,11,1,30.8
203,1997,12,1,26.3
204,1998,1,1,22.5
205,1998,2,1,24.8
206,1998,3,1,28.9
207,1998,4,1,29.5
208,1998,5,1,36.9
209,1998,6,1,36.2
210,1998,7,1,33.8
211,1998,8,1,33.5
212,1998,9,1,31.9
213,1998,10,1,31.7
214,1998,11,1,28.6
215,1998,12,1,29.2
216,1999,1,1,24.5
217,1999,2,1,25.2
218,1999,3,1,30.6
219,1999,4,1,37.7
220,1999,5,1,37.5
221,1999,6,1,39.7
222,1999,7,1,31.4
223,1999,8,1,35
224,1999,9,1,32.7
225,1999,10,1,30.3
226,1999,11,1,32.5
227,1999,12,1,27.8
228,2000,1,1,23.6
229,2000,2,1,26.2
230,2000,3,1,28.8
231,2000,4,1,37.6
232,2000,5,1,36.2
233,2000,6,1,35.5
234,2000,7,1,32.2
235,2000,8,1,31.6
236,2000,9,1,30.1
237,2000,10,1,31.8
238,2000,11,1,31.3
239,2000,12,1,26.1
240,2001,1,1,25.5
241,2001,2,1,28.7
242,2001,3,1,28.7
243,2001,4,1,34.5
244,2001,5,1,32.5
245,2001,6,1,33.2
246,2001,7,1,32.6
247,2001,8,1,33.9
248,2001,9,1,33
249,2001,10,1,30.3
250,2001,11,1,30.6
251,2001,12,1,25.8
252,2002,1,1,24.3
253,2002,2,1,26
254,2002,3,1,31
255,2002,4,1,33.6
256,2002,5,1,34
257,2002,6,1,34.6
258,2002,7,1,32.4
259,2002,8,1,33.5
260,2002,9,1,34
261,2002,10,1,34.4
262,2002,11,1,29.5
263,2002,12,1,29.4
264,2003,1,1,22.6
265,2003,2,1,20
266,2003,3,1,32.5
267,2003,4,1,34.6
268,2003,5,1,34
269,2003,6,1,37.3
270,2003,7,1,33.2
271,2003,8,1,30.8
272,2003,9,1,31.2
273,2003,10,1,34.4
274,2003,11,1,31.6
275,2003,12,1,27.2
276,2004,1,1,19.4
277,2004,2,1,26.2
278,2004,3,1,33.6
279,2004,4,1,34.3
280,2004,5,1,37.6
281,2004,6,1,31.8
282,2004,7,1,35.8
283,2004,8,1,34.5
284,2004,9,1,33.6
285,2004,10,1,35
286,2004,11,1,29.7
287,2004,12,1,28.8
288,2005,1,1,25.7
289,2005,2,1,20.4
290,2005,3,1,32.8
291,2005,4,1,33.7
292,2005,5,1,31.5
293,2005,6,1,42.4
294,2005,7,1,32.7
295,2005,8,1,34.6
296,2005,9,1,35.8
297,2005,10,1,30.4
298,2005,11,1,27.4
299,2005,12,1,27.3
300,2006,1,1,26.3
301,2006,2,1,29
302,2006,3,1,32
303,2006,4,1,37.6
304,2006,5,1,39
305,2006,6,1,29
306,2006,7,1,36.4
307,2006,8,1,35.5
308,2006,9,1,33.2
309,2006,10,1,33.8
310,2006,11,1,31.2
311,2006,12,1,26.8
312,2007,1,1,24.3
313,2007,2,1,27.3
314,2007,3,1,24.5
315,2007,4,1,37.5
316,2007,5,1,38.4
317,2007,6,1,39.8
318,2007,7,1,34.3
319,2007,8,1,30
320,2007,9,1,34.3
321,2007,10,1,34.5
322,2007,11,1,32.3
323,2007,12,1,28
324,2008,1,1,24.4
325,2008,2,1,20.8
326,2008,3,1,30.3
327,2008,4,1,32
328,2008,5,1,36.8
329,2008,6,1,36
330,2008,7,1,27.8
331,2008,8,1,33.8
332,2008,9,1,34.6
333,2008,10,1,33.8
334,2008,11,1,30.8
335,2008,12,1,28.8
336,2009,1,1,24.2
337,2009,2,1,26.2
338,2009,3,1,31.3
339,2009,4,1,33.8
340,2009,5,1,36
341,2009,6,1,34.2
342,2009,7,1,32.8
343,2009,8,1,35
344,2009,9,1,35
345,2009,10,1,34.2
346,2009,11,1,30
347,2009,12,1,27.5
348,2010,1,1,20.4
349,2010,2,1,27.5
350,2010,3,1,33.2
351,2010,4,1,40.7
352,2010,5,1,36.4
353,2010,6,1,36.7
354,2010,7,1,35.2
355,2010,8,1,31.8
356,2010,9,1,34.3
357,2010,10,1,34.3
358,2010,11,1,25.4
359,2010,12,1,26.6
360,2011,1,1,24.5
361,2011,2,1,26.5
362,2011,3,1,30.4
363,2011,4,1,35.6
364,2011,5,1,36.2
365,2011,6,1,36.6
366,2011,7,1,29.7
367,2011,8,1,35
368,2011,9,1,33.8
369,2011,10,1,34
370,2011,11,1,31.2
371,2011,12,1,28
372,2012,1,1,25.8
373,2012,2,1,25.4
374,2012,3,1,32
375,2012,4,1,34.2
376,2012,5,1,38
377,2012,6,1,39.5
378,2012,7,1,35.6
379,2012,8,1,32.5
380,2012,9,1,36
381,2012,10,1,34.4
382,2012,11,1,31.2
383,2012,12,1,27.5
384,2013,1,1,24
385,2013,2,1,23.7
386,2013,3,1,29.8
387,2013,4,1,36.3
388,2013,5,1,40.2
389,2013,6,1,33.6
390,2013,7,1,34
391,2013,8,1,34.3
392,2013,9,1,35
393,2013,10,1,29.4
394,2013,11,1,30.6
395,2013,12,1,28.6
396,2014,1,1,25.3
397,2014,2,1,24.5
398,2014,3,1,24.5
399,2014,4,1,36.8
400,2014,5,1,36.8
401,2014,6,1,33.6
402,2014,7,1,32.4
403,2014,8,1,37.1
404,2014,9,1,32.9
405,2014,10,1,34.6
406,2014,11,1,31.2
407,2014,12,1,27.8
408,2015,1,1,28
409,2015,2,1,23
410,2015,3,1,33.6
411,2015,4,1,34.7
412,2015,5,1,33.5
413,2015,6,1,37.4
414,2015,7,1,36
415,2015,8,1,27.2
416,2015,9,1,34.7
417,2015,10,1,35.2
